	Ref	NOX	ATPase
b2708	8.369085338	8.698993169	8.659777732
b2709	8.30004245	9.15767898	8.903945855
b2710	5.401729442	6.773367793	6.730070676
b2711	8.741689128	10.11994985	9.843464664
b2712	9.053304611	10.54936023	9.68775557
b2713	8.040876235	9.626249993	8.76477298
b2714	10.9267962	11.11547387	11.19580473
b2715	7.420369388	8.76127542	8.306472046
b2716	6.525714437	7.25992809	7.467401999
b2718	6.904904725	7.963026495	8.134668676
b2719	7.568596985	8.412850097	8.525095836
b2720	7.073905635	8.977884386	8.605779477
b2721	8.733847389	10.41909034	9.951319525
b2722	7.520069677	9.037957087	8.096545121
b2723	6.883738372	9.441824639	8.355858726
b2724	2.480350798	2.637074807	2.887345473
b2725	5.180075391	7.047223335	6.421376578
b2726	8.386881959	9.240377483	9.202393762
b2727	10.07143095	10.76518714	10.75282006
b2728	7.867704712	8.480512983	8.24445288
b2729	8.959451953	9.638724163	9.310074344
b2730	5.702614079	6.294203124	6.162024761
b2731	8.140855386	8.301805965	8.463422743
b2732	8.481022842	9.150326988	9.431820973
b2733	8.861638061	9.288044696	9.295614199
b2734	10.22074792	11.32665449	11.00940284
b2735	10.68414656	10.94877757	11.00868134
b2736	7.876664112	9.694630859	8.846747159
b2737	6.848935018	9.205401451	8.29402014
b2738	7.954598055	9.628264859	9.040455101
b2739	7.708979943	9.628698483	9.15785132
b2740	8.127596374	9.482038551	9.037924617
b2741	12.60605784	12.40689958	13.00010804
b2742	12.52179424	12.32580937	12.70048825
b2743	11.73357842	11.57593382	11.80705437
b2744	9.665231708	9.274796305	9.376586901
b2745	11.24730727	10.91540944	10.78620238
b2746	11.49994001	11.15599009	10.98659555
b2747	9.267478648	9.111764748	9.161396977
b2748	11.21722895	10.92470848	10.94223384
b2749	12.2481209	12.3111724	12.17396706
b2750	11.42333829	11.29276677	11.12079324
b2751	12.45100192	12.64015479	12.53807469
b2752	12.01792789	11.56616677	11.03752709
b2753	10.72030625	10.52883988	10.32854077
b2754	10.68066327	11.20267829	11.06960448
b2755	8.546703426	9.002766549	8.750359759
b2756	6.410879657	6.91859204	7.131215848
b2757	8.82563754	9.558809593	8.927617874
b2758	7.653920505	8.662597929	7.589604372
b2759	7.893003766	8.201948645	8.47425972
b2760	5.530116453	6.427943131	5.888160409
b2761	7.794471096	9.236524817	8.72981473
b2762	9.423783004	8.625939234	8.458601547
b2763	12.00652069	12.13447333	11.91674067
b2764	12.34036225	12.42847558	11.91546435
b2765	10.03747978	10.27618841	10.17666291
b2766	7.343407525	7.46992831	7.617958572
b2767	6.594475465	7.50839123	7.063003361
b2768	9.115400203	10.29121304	9.651416046
b2770	9.319831354	10.88238478	10.03798411
b2771	6.885042487	7.771746558	7.525689459
b2772	7.024686906	8.569061956	8.117215049
b2773	6.905988625	8.315980487	7.255575528
b2774	5.9173197	8.429555834	6.932276043
b2775	4.577450802	6.255808078	5.948249721
b2776	5.967837529	6.546309876	6.894847463
b2777	10.686461	10.7478717	10.60326983
b2778	6.952907364	7.663064081	7.859829388
b2779	13.3928345	13.06315637	13.29473016
b2780	11.80668682	11.64158107	11.4772513
b2781	10.81092778	10.75392616	10.53428844
b2782	8.093754043	7.790248239	7.762623585
b2783	10.37387634	10.20480034	10.15243069
b2784	10.85343158	10.70637458	10.83766548
b2785	9.740957402	9.53297432	9.647550568
b2786	10.40791346	10.66561552	10.60648789
b2788	8.424327987	9.945782125	9.242967427
b2789	5.162594206	8.01964246	6.666361166
b2790	8.280107028	8.409648188	8.580121291
b2791	8.997257401	9.216751027	9.113877288
b2792	9.686368462	9.494248718	9.738675837
b2793	10.28797045	9.94860254	10.1061598
b2794	11.31503732	11.28326618	11.39231514
b2795	10.11710711	9.92483447	10.00472437
b2796	9.524987516	9.589850538	9.574183577
b2797	8.666657147	9.141138684	8.961416899
b2798	9.332711727	9.625616567	9.79351823
b2799	8.208076132	9.295289977	9.020780277
b2800	9.635154937	10.85914535	10.22745112
b2801	6.68084257	8.800966464	8.521289243
b2802	7.013603099	8.546576448	7.656296714
b2803	5.315221751	7.583956554	6.817241212
b2804	9.897789535	9.761589006	9.824089942
b2805	10.42327589	10.42112156	10.53503468
b2806	10.6642738	10.64684214	10.51373032
b2807	10.77131253	10.61027783	10.6016116
b2808	10.02390628	9.919603153	9.937812386
b2809	9.287436141	8.667372999	8.907678971
b2810	11.24773309	11.57597774	11.53090578
b2811	9.22177756	9.370137886	9.467719266
b2812	9.734455836	9.912412746	9.898730126
b2813	2.359480976	2.225937897	2.30021512
b2818	11.47011589	11.21114064	11.28451336
b2819	8.873066911	8.84947475	8.887542883
b2820	8.593077056	8.78581761	8.840883463
b2821	9.515116884	9.26652071	9.426952974
b2822	6.581572649	6.59967414	6.620343133
b2823	8.66917606	9.419151526	8.953039701
b2824	9.726881654	10.38994419	10.27204626
b2826	7.647226279	8.82156882	8.394315349
b2827	11.82172478	11.7679507	11.60612623
b2828	10.50305488	10.2835318	10.21902183
b2829	11.74540305	11.55988608	11.58285098
b2830	12.19286424	11.51364802	11.67984838
b2831	9.694465963	10.21359965	10.12777166
b2832	8.838015195	9.177368792	9.050547873
b2833	10.77087704	10.39976255	10.52398871
b2834	11.42408929	11.13484385	11.08546069
b2835	8.978125031	9.302431573	9.461670732
b2836	10.50533815	10.54547639	10.57310133
b2837	10.25632892	10.36398613	10.41018435
b2838	11.03715618	11.05143415	10.59053652
b2839	7.758880406	9.497254296	9.062887753
b2840	10.87049807	10.95749738	10.8972826
b2841	8.142414458	9.354047808	8.692025361
b2842	8.116392021	8.67347355	8.493222441
b2843	7.353856903	7.940854051	7.787184179
b2844	10.47003366	10.9157988	10.69272559
b2845	5.40961816	8.241265477	7.183280695
b2846	6.476437296	7.607148544	6.847969262
b2847	3.565736204	4.134838362	3.803591213
b2848	9.289440039	10.75836698	9.876411872
b2849	3.83486399	4.707293434	3.699479262
b2850	6.196350807	8.769896856	6.717118074
b2851	6.689985268	8.845113948	7.339614415
b2852	3.535912894	3.899754135	4.194714107
b2853	2.99908585	2.622012421	2.386892323
b2854	2.609143173	2.312615099	2.386892323
b2855	9.186001773	8.883414336	8.997134392
b2856	8.038254613	10.11369947	7.884248613
b2857	3.357599139	3.427213455	3.200767893
b2858	5.620129179	7.01646753	5.715900558
b2859	4.228691645	4.496794941	3.787214558
b2862	6.8635736	7.364662215	6.842139322
b2863	9.493581932	9.884420041	9.737073453
b2866	6.879854437	8.234942025	7.760902786
b2867	6.244307983	7.774935102	7.39542684
b2868	6.790200663	8.246047855	8.109893093
b2869	8.370252993	9.613290248	9.157600658
b2870	7.901619145	9.904040742	9.248596632
b2871	7.681912395	9.797970443	8.568712026
b2872	7.394477851	8.703076141	8.296634561
b2873	5.626803765	7.995607013	6.917303945
b2874	8.069786572	9.167983898	8.49316634
b2875	8.694355425	9.405418877	9.286394228
b2876	8.923208586	9.676171315	9.116128687
b2877	8.420645575	9.163662619	9.187998181
b2878	2.821707201	3.315276636	3.557827189
b2879	7.099257779	8.490786609	9.051581722
b2880	6.846354833	9.075043073	7.939619513
b2881	4.664993942	5.91694589	6.051124295
b2882	6.171536672	7.698777159	7.326357789
b2883	8.660447418	9.552153448	9.307952149
b2884	6.847505427	8.104948252	7.963037203
b2885	8.044703466	8.684538856	9.071395307
b2887	8.615243091	10.05274491	9.384538195
b2888	6.591172728	9.335668275	8.206548146
b2889	8.26553746	8.770206359	8.409302499
b2890	11.92316627	12.08922165	11.6476737
b2891	11.92941622	11.66080321	11.57988795
b2892	10.45168841	10.54694083	10.35222841
b2893	11.4028215	11.02587595	10.97046471
b2894	11.09684894	10.92378943	10.87825153
b2895	11.02945012	10.99422989	11.24599395
b2896	9.681605235	9.55578802	9.518126197
b2897	10.25616501	9.865016428	9.973646626
b2898	13.09205642	13.02737139	12.96620487
b2899	8.290685202	8.207189616	8.261313563
b2900	10.7082286	10.35424851	10.66103236
b2901	10.41343479	10.49066593	10.79294403
b2902	7.496634751	8.740493367	8.5339286
b2903	11.64989975	11.7700604	11.40243203
b2904	12.613472	12.50598627	12.08113322
b2905	11.77881354	11.8927105	11.36665785
b2906	10.56527999	10.46945822	10.40338372
b2907	10.0442913	10.06179491	10.12422771
b2908	12.0334644	12.13709799	12.12724323
b2909	10.47940587	10.42194638	10.34945621
