,REF,NOX,ATP
b2482,2.4729055457949158,0.96430733246211398,2.6944957593715309
b3431,0.41049536560366012,0.40065307827276903,0.18092189804955336
b2320,0.28381774176694602,0.28190097854275098,0.045739001300164658
b3546,0.68016956169539355,0.52400386773464047,0.85685766632545535
b1186,0.12514748935760495,0.1718627708182007,0.32516985154822692
b0902,0.37787977274682216,0.33087315035285308,0.60893228882708172
b3806,0.36727112776600734,0.39703427501598465,0.16970974785595755
b0484,0.08688558828918698,0.20008635860669582,0.4279920666398786
b2036,0.52100027964702733,1.4385966649055799,1.8994080173668426
b0809,0.41155547659812131,0.49367825421435607,0.17187221214067605
b0832,0.087751109037787489,0.13471416331807137,0.075085297190358016
b1126,0.44777208370230931,0.29615969758938343,0.36107909558981294
b0428,0.74283892229697379,0.33943895949403735,0.19887880951867234
b1693,0.087337177035740135,0.10395272440951341,0.084167833906920286
b0086,0.49718656150127993,0.40873502503763853,0.44643864282435453
b2097,0.89052897856351765,0.24290133956297427,0.49965118056139146
b0336,0.70920555350464864,0.48479564287150689,0.37326348375377744
b4268,1.5720008574407223,0.76856442361021771,1.4783223876192233
b1912,0.4296800699283701,0.52695471066847155,0.53764035059832327
b3734,0.40727119317921157,0.37145173327441733,0.14292601424642709
b3479,0.35620097946712559,0.51863949873778425,0.69642927070834626
b1901,1.1816462641483401,0.52738902460860893,0.86391010824790704
b2687,0.42944350850055779,0.31959743055350226,0.69724538361885524
b2530,0.40685911989016976,0.38180358557984717,0.34070607195697866
b0639,0.12664382961791409,0.10487492525279683,0.055069009903228133
b2378,0.55762072480883973,0.51948276080313593,0.39142456747829585
b0485,0.4380586260880312,0.50897650258429949,0.088446543899712418
b0586,2.1025521851376592,1.4615049325492775,2.1056740936713592
b1677,0.15127106711422869,0.7034620491127348,1.2614304377699883
b3927,0.16802285117545826,0.20382332225903294,0.063950896440027466
b1281,0.76556141571120317,0.50881374300056548,0.78694424703298793
b0755,0.19408300092095704,0.49417857445845115,0.55662194002492205
b3924,0.46263980552380801,0.10906599703017675,0.58431362014158317
b1262,0.39234174689903251,0.24065577535716448,0.44081019161915941
b0612,2.2065966746165615,1.4867844205282474,2.4279237462668193
b1858,0.30999555044272953,0.13838890791103622,0.29109827291832391
b2762,1.1291243148283769,0.74756280177378187,0.97176215795350596
b4291,1.0267952110567642,0.69937462273263917,1.1032567957390604
b2615,0.070946375589045402,0.064263123578081879,0.2691488870074456
b3747,0.29979660087418269,0.42433108302018802,0.58709741662271697
b0090,0.54679955194834162,0.56283741958356714,0.28721674974904526
b0862,0.43537552265919555,0.12530943212240592,0.13051613562715542
b3737,0.30971123420532415,0.22395805453815898,0.62447815008023189
b2541,1.7555505880374149,0.99800009706679549,1.9727441187084338
b2975,1.2017069174537292,0.57957816276795493,1.590282383003411
b1189,0.23140685439195779,0.24310728625485448,0.08019685458895541
b0945,0.84931668023753193,1.1248980856408946,0.87533271505748322
b3451,0.62174924188125791,0.53449137059578145,1.0187642842006701
b4238,0.93765790899178136,0.65261968986905239,1.2951436674985344
b0087,0.32833887356463115,0.31090589380994121,0.14162473722178739
b4055,0.98562494685909552,0.45944588766692718,0.91422545330498373
b0032,0.35631182283559887,0.26204326811790657,0.52033689074817835
b2478,0.58056516178369089,0.45496325330704007,0.53460968335178205
b2901,0.034176681769426197,0.19535745658227038,0.44940845107723126
b2867,1.7720977950736225,1.135468040630045,2.0870829214153788
b2574,0.10399502201413897,0.22878678364310778,0.34806256106428674
b2947,0.55832413515555401,0.36060904649218106,0.17897104622122503
b4132,2.2158086709100999,0.9239223760639621,2.2440331928640775
b1467,0.73305513278983125,0.6811220166889862,0.67875384447383125
b4053,0.12746339748035662,0.13120358226135345,0.27873434025707783
b2051,1.915820015484609,1.3668738533133371,2.1914641855725585
b3824,0.55403146624176192,0.42973820856431838,0.9129676839153138
b0341,1.8627871195116694,0.88779746694215245,2.3984060583114961
b4035,0.13905063332237078,0.1096466937384443,0.23704409459200476
b1896,0.50790635191450695,0.1624606246041429,0.35832562619721831
b2487,1.1038245447062913,0.68051306784671728,1.6152006449871292
b2661,0.25028332617069132,0.58398896515095444,0.60454551490983133
b0774,0.1570554362637927,0.091045894876918387,0.3102877324758605
b3452,0.60023982738937554,0.78154577076279352,1.3823776670240868
b0521,1.7457448273528486,1.2695439533767212,2.4887665797463625
b1587,1.761608958455217,0.93681962872192082,1.8067519380893216
b1744,1.0042600707822851,0.9380056607655648,1.0130807472557732
b3502,1.4334265390961554,0.77287746971414539,1.5107271287185475
b2199,0.42803112080175404,0.41371492421259648,0.74953180349686799
b2282,0.61464917076409353,0.50895798760029409,0.26421474309112802
b3579,1.7797821691908056,1.029121329085924,2.5845619794430044
b2599,0.3975366929332213,0.15300603301700544,0.26560693693371051
b4042,0.03672723268705215,0.22786498525869592,0.10414812813029012
b0061,1.4153285650160068,0.84709810006483721,1.7604153214506035
b3359,0.61699459882951746,0.44064133137366263,0.50086006803722061
b0182,0.21473838972168274,0.22492364412035268,0.14871510142945626
b4323,0.98736744129500165,0.79038958183996666,1.3087096461915018
b3008,0.33727556094704858,0.3151970142601514,0.32206430189707519
b0727,0.46193100465448012,0.53191253157643636,0.17796621411499194
b3360,0.66015267453685755,0.5108216299341285,0.63096859843979736
b0120,0.53546473468856848,0.81861477158378759,0.26201081522590453
b4151,0.82618957857117004,0.75090018497672784,1.0208396612376187
b2276,0.7099765229357804,0.50228384480466537,0.34646986514694167
b1329,0.07980593157142607,0.14333282546388912,0.15231299868061479
b1702,0.55659440431144225,0.30847838803217575,0.20678420705161471
b3540,0.20583059780688592,0.24550705033372069,0.030504423258563913
b2019,0.37966882552795,0.29711030580747022,0.77084347079454685
b4382,0.17139177545900813,0.31077880083415749,0.51418208830520629
b3626,0.55412034026243484,0.25987161857293406,0.83218437616528829
b3624,0.7602770083612681,0.3850721309407617,0.65792080927714847
b2994,0.35471978936320459,0.40188384862209703,0.67220661584588004
b1801,1.6929742469612057,1.8104930073532095,2.0103529245016385
b2243,2.2147556806215309,1.1947616681063686,2.5146456696728166
b3666,0.51895176945108745,0.79720231893198945,2.5025502006996199
b2422,0.83477665832517389,0.66353731036076002,0.96549361562785629
b1589,1.8273450862683245,1.1560129307782288,1.9072529921619787
b2720,2.1312330770186292,1.1168702318189383,2.465626214621055
b2025,0.37401239663908253,0.37380721157285279,0.502842110261985
b2551,0.5960154546913875,0.267058317830702,0.51064033463466885
b1224,1.33807983051456,0.63492446337854347,1.5340796662385336
b4138,0.30964125532096159,0.4328320695971925,0.18866813515944852
b0589,0.81443946949081802,0.29716743841477816,1.3297920670057939
b2508,0.73649428333226008,0.42381854442100492,0.35066514590084807
b1859,0.3648102824854112,0.30369177852677642,0.57117178997408979
b0505,0.5035244048308718,0.57819051543960287,0.66827254806315228
b0194,0.49229341586829861,0.2564530364085435,0.36504893903653118
b0997,1.1262756171814474,0.94248058268022428,1.6713097424642793
b3786,0.043251870128223908,0.31711784762664424,0.035665542385678636
b2205,1.5905608141247187,0.89158722189512862,1.4533395500498989
b2515,0.54439998837927928,0.28410500091418217,0.61483333104315885
b1493,0.75750059333769315,0.50639127555030061,0.7721952218405429
b0585,2.1902199199851351,0.79964971944660435,2.6594945512587258
b3117,1.6679540688648042,0.9034561087705798,2.1108696236037789
b0576,0.21303180484913872,0.042944084619545124,0.63288830479447866
b0185,0.51158980787343156,0.43708730570014032,0.55620006512841513
b2701,0.15919819079677591,0.069015691768774229,0.091707659830429833
b2440,0.27800074871215763,0.41021634552514402,0.6408948244401399
b2037,0.49125294193221131,0.75312216565753276,1.2557428751176778
b0684,0.8669450625047106,0.44270284419542749,0.67265217808186406
b1539,0.80908979373365508,0.40109288574851915,0.56354716134638194
b0155,0.16589959855879419,0.48393772295407017,0.43395337971148967
b2344,0.12246680760808884,0.26815733879178533,0.10101756721355093
b1308,0.45882473210969049,0.47634328680065552,0.46367506543818138
b1622,0.43363600875911529,0.14488383920488743,0.6640814729874468
b3432,0.39988644035710524,0.33849490613979905,0.1941461536832399
b3772,0.11675246475110719,0.20522272643416375,0.12637424502036007
b4384,0.73326767397202242,0.26970861917966321,0.29653561187373395
b0475,0.25116912439836137,0.32298951858974528,0.40737897001645601
b3904,2.6944323454248589,0.96887108159486857,2.98819174864926
b3730,0.55027453168610885,0.51517671110538676,0.77186625589773561
b4033,0.21315600280492825,0.32880064233505052,0.62777535511916993
b2722,1.4416479163704261,0.67373036559138,2.5152380056408163
b3918,0.79229976032878202,0.6675119546170496,0.78064186291569926
b3092,0.66090476708294998,0.43451260411869647,0.73285635550293315
b3605,0.65463900720214552,0.5345237144917846,0.97902195812460591
b2424,0.51105852067617574,0.47922145914449277,0.22493675905254754
b1745,1.0461613909639715,1.1127125228677961,1.5170133763969116
b0175,0.46619026779818645,0.31234391877992568,0.2535631739432872
b1528,0.27177281301931422,0.28110417012484995,0.47602775832516647
b0937,2.6905139545406289,1.9393417512163691,3.2270749095340059
b4079,1.3265602660961973,0.4611737039440354,1.1661405631229482
b2677,0.90298804263094468,0.70744745775896301,0.96474251655995569
b4198,1.3063047685885345,0.47370477238220571,1.567776590312558
b0758,0.60937477163305909,0.013580339286077811,0.24128409805185549
b1098,0.5017901258409857,0.18968662911333375,0.12479433436167869
b2943,0.036404218267254589,0.46775756000548313,0.50337869214131947
b4036,0.10682860286412568,0.2907187535768318,0.16568401509015601
b1533,0.41034698580179246,0.17737007306674873,0.21057898495841332
b0030,1.3597216515751018,0.5788315056458011,2.2712963168326845
b1276,0.58873199382403818,0.23756864665843702,0.3070286762752964
b1476,1.1205384675360337,0.50702020860329011,0.87651631171733135
b1605,0.78201896696292028,0.38575841358774787,0.74384452905242848
b4025,0.44678953046224829,0.21164436269479572,0.19184526580147909
b1640,0.089775519561760969,0.01225413090172515,0.041150550128613725
b2280,0.66552997715552253,0.38663450335233546,0.21320056070382962
b1198,0.31372738618237522,0.12513554325167311,0.12185602419324171
b3892,0.51227520710621277,0.37579863330179814,0.4494372928400171
b3749,0.36801687045693726,0.28856770164222378,0.54963038544029563
b4395,0.18685618981776078,0.14320150977265853,0.21856650510902745
b0831,0.34283461993052833,0.27533178022692162,0.22012160466582467
b0062,1.6328020533745551,1.1993931809263096,2.3073565799213727
b2021,0.29523577524710093,0.45925935092366588,0.40395021704723655
b2890,0.41499027755108847,0.18589604250480232,0.28300772038362842
b0350,2.0478778808500402,0.93830891129370997,2.4489990266217654
b0573,0.4747790685614699,0.3782585557166363,0.45835864422352779
b0617,1.952453275907587,1.6403161218085698,2.6972731388930122
b3708,1.0596825406810286,0.53347239318341833,1.7354765670922281
b2965,0.10903980039136738,0.14733382295713129,0.26468640665856719
b3433,0.44845380538652124,0.19778641330384514,0.62189445234876006
b2708,0.2955947651663493,0.2706466559480516,0.59722763884766783
b3040,0.092003204383100473,0.30284468377968787,0.54980807771585527
b0526,0.2559374317608098,0.13584485894348147,0.11423111286440928
b0158,0.27155871635898182,0.26680149022983707,0.378953340918395
b3619,0.19917569453092682,0.28558779944503498,0.047604807536950164
b3567,2.0060483301648073,0.59423861793442279,2.9427982951370653
b4084,1.7690599659756481,0.85214779071955393,2.5581583174373161
b0888,0.69092400622634598,0.33750716993279894,0.66796677560094542
b4032,0.70174743202027379,0.47980002775955799,0.87926205495911036
b1298,0.35040312485345659,0.39225388243068343,0.39136602094763001
b3455,1.0143735003504672,0.8527166420955089,0.45914129646166152
b2341,0.3945905949296275,0.27878382362727583,0.34192820226767717
b0004,0.5030690512494066,0.50462021641416877,0.46141639146555763
b2705,1.188025098190008,0.73063680547776433,1.8486234254481446
