,O2_0.0,O2_0.5,O2_1.0,O2_2.8,O2_20.9
YPL019C,8.705392979,8.852739241,8.764624315,8.724704224,8.602655567
YPL020C,8.763053368,8.681706783,8.64212264,8.725282537,8.529557155
YPL021W,4.851121922,4.694355164,4.704019285,4.739866744,5.439266647
YPL022W,8.518408415,8.440627989,8.389754639,8.46592373,8.336333777
YPL023C,9.516284103,9.639286243,9.537462882,9.670500755,9.485070165
YPL024W,8.869577379,9.084632694,9.002235665,8.800586409,8.549880003
YPL026C,9.837120626,10.02726497,9.83787269,9.805712762,9.13652401
YPL027W,4.893915466,4.513348508,4.452603677,4.43813613,4.640031574
YPL028W,12.16347454,11.78094154,11.79155883,11.75247182,11.80000234
YPL029W,8.931404874,8.851101671,8.788917828,8.745021952,8.512530636
YPL030W,8.540066444,7.938780652,7.906297297,7.90402867,7.761289133
YPL031C,10.07273283,10.30458309,10.21083732,10.21585773,9.956604671
YPL032C,9.371149562,9.288454576,9.274104534,9.001544753,8.954503631
YPL033C,4.420792735,4.388400006,4.434708212,4.349113356,4.704285045
YPL034W,7.898525284,8.030592118,7.732207024,7.736609683,7.763093962
YPL036W,5.864935397,6.87895487,6.802744951,6.191637641,10.65713825
YPL037C,12.58420642,12.47573144,12.49705344,12.56388772,12.54439701
YPL038W,7.408999052,7.013829687,6.894860063,7.279619604,7.592857035
YPL038W-A,5.071788026,5.026846176,5.007755609,5.032181621,4.969840062
YPL039W,8.370675202,8.084898154,8.112877894,8.115883813,8.149884931
YPL040C,7.78737092,7.799250266,7.727438375,7.477613411,7.245301921
YPL041C,7.049449542,6.357995719,6.269469112,6.114387684,6.421857551
YPL042C,8.296459316,8.252603332,8.238950916,8.284573368,7.949938727
YPL043W,9.195455979,8.88394453,8.997466753,9.100664826,8.7948892
YPL045W,6.518610752,6.19628224,6.317183406,6.190349055,6.185921048
YPL046C,7.458698898,7.521518018,7.475064458,7.570361989,7.143848146
YPL047W,7.269451005,6.304376724,6.395356057,6.32276505,6.977492413
YPL048W,11.15720186,11.27903247,11.17998194,11.09115924,11.30889132
YPL049C,9.036760922,9.268100789,9.258522778,9.179395458,9.349279973
YPL050C,9.817886269,9.914769115,9.836104097,9.88074114,9.692191927
YPL051W,8.258134471,7.768951685,7.85191978,8.003473146,8.10886745
YPL052W,9.017967934,8.594744076,8.485953863,8.540694432,8.507788404
YPL053C,10.10520086,10.12856109,10.11957716,10.06280502,9.891090758
YPL054W,9.765172679,9.949719584,10.14752799,10.33895201,11.18174943
YPL055C,7.226394575,7.301026523,7.138967171,7.173725849,7.473098115
YPL056C,8.242145639,8.418219434,8.19081657,7.965152831,8.373388698
YPL057C,10.85064088,10.54949241,10.64052253,10.53147315,10.25308748
YPL058C,6.415531425,11.27269882,12.20155882,12.66066701,10.8640549
YPL059W,9.643157465,9.694521969,9.838070956,9.862993183,9.573024971
YPL060W,6.816434604,6.90494263,6.850891775,6.900804314,7.000416383
YPL061W,12.13197813,12.28917514,12.62879271,12.76347692,13.14581901
YPL063W,8.541832627,8.861308177,8.870616378,8.78418693,8.486416719
YPL064C,7.753306147,7.700522936,7.58268264,7.635917918,7.685704866
YPL065W,8.457385303,8.09097648,8.131591692,8.207787058,8.678709446
YPL066W,9.301604121,9.144734961,9.156825748,9.05580764,8.889261155
YPL067C,7.511041491,7.540385738,7.594373541,7.3426045,6.710241315
