,O2_0.0,O2_0.5,O2_1.0,O2_2.8,O2_20.9
YBR010W,0.124254588,0.04105456,0.07433318,0.066322068,0.141531966
YBR011C,0.096912821,0.058049985,0.056055843,0.044003899,0.025166009
YBR013C,0.196192814,0.019408529,0.112671063,0.186605464,0.183210243
YBR014C,0.118484067,0.108502154,0.13201705,0.195963762,0.118078631
YBR015C,0.139994487,0.151069472,0.110014992,0.181880782,0.075719668
YBR016W,0.207346429,0.237999605,0.098286128,0.175646111,0.120246375
YBR017C,0.22000962,0.167073098,0.038880064,0.32905922,0.071275166
YBR018C,0.167295828,0.185163429,0.136195852,0.181340702,0.14063445
YBR019C,0.105690712,0.090343795,0.07722021,0.176471066,0.103981688
YBR020W,0.223231123,0.0772003,0.087293822,0.106013576,0.151143632
YBR021W,0.164025683,0.301137119,0.090145125,0.45112026,0.230695776
YBR022W,0.150859906,0.13747761,0.146667442,0.245700818,0.148065358
YBR023C,0.228530903,0.140858143,0.08539708,0.116561395,0.174826285
YBR024W,0.059876442,0.218281589,0.137034259,0.447485233,0.276387263
YBR025C,0.118482268,0.116568699,0.073126924,0.063236382,0.153271106
YBR026C,0.194466883,0.073046751,0.17022604,0.284412227,0.397518168
YBR028C,0.235915171,0.093376849,0.070691023,0.121832678,0.098215912
YBR029C,0.116862345,0.09648748,0.027778258,0.251301274,0.082951285
YBR030W,0.09592437,0.158776273,0.142964491,0.427121747,0.113088364
YBR031W,0.042842676,0.068492497,0.031204715,0.123233011,0.20790127
YBR033W,0.033343972,0.115948309,0.122029731,0.072934252,0.258464572
YBR034C,0.14509847,0.312026103,0.123228572,0.470818497,0.692689254
YBR035C,0.146797002,0.040611961,0.07316204,0.213595809,0.286091935
YBR036C,0.084236201,0.065828497,0.061510075,0.126517585,0.166506793
YBR037C,0.090754945,0.124151131,0.043921713,0.245417281,0.189775719
YBR038W,0.142363514,0.258941652,0.104931089,0.374332299,0.338903764
YBR039W,0.134531093,0.062053843,0.036188254,0.091723149,0.178022055
