,REF,WT_0.1h-1,WT_0.4h-1,WT_0.5h-1,WT_0.7h-1,galM,glk,pgm,pgi,pfkA,pfkB,fbp,fbaB,gapC,gpmA,gpmB,pykA,pykF,ppsA,zwf,pgl,gnd,rpe,rpiA,rpiB,tktA,tktB,talA,talB
b0724,0.0607688472,0.0441348694,0.0804398671,0.0692841167,0.0842422991,0.0525327764,0.0714534797,0.0304957219,0.0416255474,0.0221038334,0.0523101798,0.0598784612,0.0451870915,0.0605462507,0.0529779694,0.0516423903,0.0451870915,0.0474130566,0.0480808462,0.0369510207,0.0552039345,0.0402899683,0.0371736172,0.0560943205,0.0469678636,0.0467452671,0.0507520043,0.0536457589,0.0625496193
b0726,0.1061785353,0.0910426102,0.1461324252,0.1319881777,0.2578324913,0.1161953782,0.1115208515,0.0972746749,0.1186439398,0.0407351613,0.1019492016,0.099945833,0.0830284982,0.1081819038,0.1090722899,0.1295511688,0.1159727817,0.1001684295,0.112188641,0.078576568,0.0923775516,0.1104078689,0.1110756585,0.0825833052,0.1015040085,0.1041751667,0.1104078689,0.1311093444,0.1357838711
b0727,0.0908193761,0.069552857,0.1504895847,0.151728345,0.2833604607,0.077240989,0.0874804284,0.0803573401,0.0905967796,0.0313861079,0.0792443575,0.0841414808,0.0594332682,0.0983876574,0.0796895506,0.0870352354,0.0850318668,0.0734568483,0.0678919355,0.0560943205,0.0770183924,0.0812477261,0.0870352354,0.0767957959,0.0736794448,0.0661111635,0.0765731994,0.077240989,0.0703404971
b0728,0.1486944687,0.1245481393,0.2423250997,0.2206253997,0.2966350048,0.1482492756,0.1228732735,0.1157501852,0.1291059758,0.0574298996,0.12309587,0.1322223269,0.1028395876,0.1925459811,0.1569305395,0.1647214174,0.1564853465,0.1360064676,0.1373420466,0.112633834,0.1293285723,0.1346708885,0.0865900424,0.0937131307,0.145800714,0.1393454152,0.123541063,0.1493622582,0.1624954523
b0729,0.0687823216,0.0478320312,0.089154186,0.0808959799,0.0806683834,0.0534231624,0.0852544633,0.0518649868,0.0525327764,0.0211911877,0.0750150239,0.06633376,0.0469678636,0.0634400053,0.0665563565,0.067669339,0.0603236542,0.0491938287,0.0476356531,0.0422933369,0.055871724,0.0547587415,0.0349476521,0.0496390217,0.0583202856,0.0503068113,0.0547587415,0.0536457589,0.0612140402
b0755,0.0623270228,0.0672421309,0.0737365449,0.1048938304,0.144488307,0.0400673718,0.0532005659,0.0536457589,0.0500842147,0.0574298996,0.0621044263,0.0463000741,0.0645529879,0.0523101798,4.29611264235881e-32,0.0447418985,0.0458548811,0.0511971973,0.0422933369,0.0471904601,0.0498616182,0.0365058276,0.0627722158,0.0529779694,0.0438515125,0.0565395135,0.0500842147,0.054981338,0.0467452671
b0756,0.0162718049,0.0099130152,0.0178643538,0.0232237263,0.0280807664,9.23775516362126e-06,0.0110630465,0.0136896854,0.0103507377,0.0124876642,0.0105733342,0.0084586674,0.0116640571,0.0116417975,0.010395257,0.0077463585,0.00892612,0.0102394395,0.0105510746,0.010907229,0.0100613623,0.0135783871,0.0065443374,0.0087925621,0.0123318467,0.0123318467,0.0106178535,0.0098165061,0.0105288149
b0767,0.023150037,0.0154587579,0.0154511578,0.0272491722,0.0301740599,0.0085699656,0.0062104426,0.0172512295,0.0169395944,0.0253760021,0.0116417975,0.0092154955,0.0158266119,0.0077908778,0.0114414606,0.009438092,0.0100168429,0.0103507377,0.0082583305,0.0149362258,6.65563564800664e-06,0.0107514114,0.0124654046,0.0142016573,0.0085922253,0.0121537694,0.0080134744,0.0065888567,0.0095939096
b0871,0.0269341777,0.041361998,0.017328088,0.0225657207,0.0322673534,0.0164276224,0.0143797345,0.043628916,0.0244856161,0.0244856161,0.0293827393,0.0260437917,0.0324990905,0.0111966045,0.023150037,0.0194104157,0.0197888297,0.0190765209,0.017473826,0.0244856161,0.011352422,0.0212357071,0.0276019672,0.0193436367,0.0152256013,0.0316087044,0.0162495452,0.0162050259,0.0255985986
b0902,0.0041848144,0.0038126981,0.0082450864,0.0152115407,0.0159294529,0.0038954389,0.0049193829,0.0048971232,0.0069672708,0.006633376,0.004785825,0.0054981338,0.0052755373,0.0040735161,0.0043406319,0.0039176986,0.0045632285,0.0046300074,0.0040735161,0.0036951021,0.0072566462,0.0029827932,0.0162272856,0.0039622179,0.0044741899,0.0036505828,0.004719046,0.0046745267,0.0039399582
