,REF,WT_0.1h-1,WT_0.4h-1,WT_0.5h-1,WT_0.7h-1,galM,glk,pgm,pgi,pfkA,pfkB,fbp,fbaB,gapC,gpmA,gpmB,pykA,pykF,ppsA,zwf,pgl,gnd,rpe,rpiA,rpiB,tktA,tktB,talA,talB
R_PGL,0.60065,0.4824,1.818,0.9945,5.6028,1.064,0.3768,0.6426,1.6653,0.3808,1.3348,0.378,0.69,1.0764,0.432,0.3663,0.6768,1.456,0.93,0.0,0.672,0.0,0.2541,0.3816,1.992,0.3592,0.3861,0.364,0.3822
R_GND,0.60065,0.4824,1.818,0.9945,5.6028,1.064,0.3768,0.6426,1.6653,0.3808,1.3348,0.378,0.69,1.0764,0.432,0.3663,0.6768,1.456,0.93,0.0,0.672,0.0,0.2541,0.3816,1.992,0.3592,0.3861,0.364,0.3822
R_RPE,0.23733,0.2546,0.909,0.2652,3.2016,0.5472,0.0942,0.2448,0.9555,0.0816,0.71,0.081,0.3036,0.5681,0.135,0.0999,0.282,0.812,0.45,-0.159,0.2688,-0.146,0.0,0.0954,1.162,0.0898,0.0891,0.084,0.0882
R_RPI,-0.36332,-0.2412,-0.909,-0.7293,-2.4012,-0.5168,-0.2826,-0.3672,-0.7098,-0.2992,-0.5964,-0.297,-0.3864,-0.5083,-0.297,-0.2997,-0.3948,-0.644,-0.48,-0.159,-0.4032,-0.146,-0.2541,-0.2862,-0.83,-0.2694,-0.297,-0.28,-0.294
R_TKT1,0.16408,0.1474,0.5555,0.2652,1.7342,0.304,0.0942,0.1836,0.5187,0.0816,0.3976,0.081,0.1932,0.3289,0.108,0.0999,0.1974,0.448,0.27,-0.0318,0.2016,-0.0292,0.0363,0.0954,0.6225,0.0898,0.0891,0.084,0.0882
R_TALA,0.16408,0.1474,0.5555,0.2652,1.7342,0.304,0.0942,0.1836,0.5187,0.0816,0.3976,0.081,0.1932,0.3289,0.108,0.0999,0.1974,0.448,0.27,-0.0318,0.2016,-0.0292,0.0363,0.0954,0.6225,0.0898,0.0891,0.084,0.0882
R_TKT2,0.07325,0.1072,0.3535,0.0,1.4674,0.2128,0.0,0.0918,0.4368,0.0,0.3124,0.0,0.1104,0.2392,0.027,0.0,0.1128,0.364,0.18,-0.1272,0.1008,-0.1168,-0.0363,0.0,0.5395,0.0,0.0,0.0,0.0
R_CS,2.51687,1.0988,3.535,4.7736,11.8726,2.6448,3.0772,2.8458,1.8291,2.2304,2.1584,2.214,2.208,2.5415,2.16,3.4632,2.3406,2.044,2.61,3.2754,2.9568,3.1536,4.0293,3.1482,4.565,5.7921,2.7324,2.408,2.6754
R_ACONTb,2.51687,1.0988,3.535,4.7736,11.8726,2.6448,3.0772,2.8458,1.8291,2.2304,2.1584,2.214,2.208,2.5415,2.16,3.4632,2.3406,2.044,2.61,3.2754,2.9568,3.1536,4.0293,3.1482,4.565,5.7921,2.7324,2.408,2.6754
R_ACONTa,2.51687,1.0988,3.535,4.7736,11.8726,2.6448,3.0772,2.8458,1.8291,2.2304,2.1584,2.214,2.208,2.5415,2.16,3.4632,2.3406,2.044,2.61,3.2754,2.9568,3.1536,4.0293,3.1482,4.565,5.7921,2.7324,2.408,2.6754
R_ICDHyr,2.07737,0.7504,3.535,4.7736,11.8726,1.8544,2.8574,2.5092,1.1193,1.9856,1.4484,1.404,1.8492,1.6146,1.971,3.1968,1.833,1.204,2.61,2.4168,2.4528,2.7156,3.4122,2.5122,4.1915,5.7921,2.7324,2.324,2.6166
R_SUCOAS,-1.83125,-0.6432,-3.03,-4.1769,-11.0722,-1.6112,-2.6062,-2.2644,-0.9009,-1.7408,-1.2212,-1.161,-1.6008,-1.3754,-1.728,-2.9637,-1.6074,-0.952,-2.37,-2.1624,-2.184,-2.482,-3.1581,-2.2896,-3.9425,-5.5227,-2.4948,-2.1,-2.3814
R_AKGDH,1.83125,0.6432,3.03,4.1769,11.0722,1.6112,2.6062,2.2644,0.9009,1.7408,1.2212,1.161,1.6008,1.3754,1.728,2.9637,1.6074,0.952,2.37,2.1624,2.184,2.482,3.1581,2.2896,3.9425,5.5227,2.4948,2.1,2.3814
R_SUCDi,2.27075,0.9916,3.03,4.1769,11.0722,2.4016,2.8574,2.601,1.5834,1.9856,1.9312,1.971,1.9596,2.3023,1.944,3.2301,2.0868,1.792,2.37,3.021,2.688,2.9492,3.8115,2.9256,4.316,5.5227,2.4948,2.156,2.4402
R_FUM,2.27075,0.9916,3.03,4.1769,11.0722,2.4016,2.8574,2.601,1.5834,1.9856,1.9312,1.971,1.9596,2.3023,1.944,3.2301,2.0868,1.792,2.37,3.021,2.688,2.9492,3.8115,2.9256,4.316,5.5227,2.4948,2.156,2.4402
R_MDH,2.61063,1.2864,3.03,4.1769,11.0722,3.04,3.0772,2.9376,2.2113,2.2032,2.556,2.565,2.346,2.9302,2.133,3.4965,2.5944,2.436,2.37,3.657,3.1584,3.4164,4.4286,3.5298,4.648,5.5227,2.4948,2.212,2.499
R_PPC,0.31058,0.0,1.2625,1.5912,2.2678,0.0,0.4082,0.306,0.0,0.408,0.0,0.027,0.276,0.0,0.432,0.3663,0.141,0.0,0.63,0.0,0.2352,0.0876,0.0,0.0,0.2905,0.6286,0.6237,0.56,0.588
R_ME2,0.09962,0.0536,0.0,0.0,0.0,0.152,0.0,0.0,0.0546,0.0,0.0852,0.216,0.0,0.299,0.0,0.0,0.0,0.196,0.0,0.2226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_ICL,0.4395,0.3484,0.0,0.0,0.0,0.7904,0.2198,0.3366,0.6825,0.2176,0.71,0.81,0.3588,0.9269,0.189,0.2664,0.5076,0.84,0.0,0.8586,0.504,0.4672,0.6171,0.636,0.332,0.0,0.0,0.056,0.0588
R_MALS,0.4395,0.3484,0.0,0.0,0.0,0.7904,0.2198,0.3366,0.6825,0.2176,0.71,0.81,0.3588,0.9269,0.189,0.2664,0.5076,0.84,0.0,0.8586,0.504,0.4672,0.6171,0.636,0.332,0.0,0.0,0.056,0.0588
R_ACKr,-0.0,-0.0,-0.0,-0.4641,-1.8676,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
R_PTAr,0.0,0.0,0.0,0.4641,1.8676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_LDH_D,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
R_ACALD,-0.00293,-0.0,-0.0,-0.1326,-0.1334,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0726,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
