,REF,WT_0.1h-1,WT_0.4h-1,WT_0.5h-1,WT_0.7h-1,galM,glk,pgm,pgi,pfkA,pfkB,fbp,fbaB,gapC,gpmA,gpmB,pykA,pykF,ppsA,zwf,pgl,gnd,rpe,rpiA,rpiB,tktA,tktB,talA,talB
b0726,0.0172,0.00764,0.0113,0.0102,0.0171,0.0121,0.00912,0.00545,0.0153,0.00427,0.00681,0.00862,0.00867,0.00385,0.00404,0.0199,0.0168,0.00552,0.00974,0.00924,0.00497,0.0154,0.0106,0.00947,0.00514,0.00633,0.00953,0.0139,0.0164
b0727,0.0122,0.00356,0.0115,0.013,0.0105,0.01,0.00865,0.0104,0.00972,0.00237,0.00581,0.00686,0.00641,0.00699,0.00803,0.0111,0.0126,0.00962,0.00209,0.00467,0.00552,0.00801,0.00785,0.00533,0.00989,0.00915,0.00716,0.00536,0.00635
b0728,0.011,0.0117,0.0208,0.0139,0.017,0.0177,0.00796,0.0171,0.0114,0.00587,0.0109,0.00993,0.00993,0.0158,0.00916,0.0272,0.0251,0.0114,0.0096,0.0151,0.00688,0.0153,0.00892,0.0134,0.0156,0.0146,0.00909,0.0118,0.0167
b0729,0.018,0.00252,0.00649,0.00694,0.0051,0.006,0.00579,0.00675,0.00702,0.00155,0.00779,0.00565,0.00486,0.00323,0.00302,0.0104,0.012,0.00568,0.00182,0.00383,0.00689,0.00677,0.00608,0.00507,0.00648,0.00598,0.00669,0.00617,0.00564
b0755,0.0138,0.00364,0.00876,0.00774,0.0158,0.00471,0.00673,0.00179,0.00446,0.00252,0.00465,0.00282,0.00509,0.00693,0,0.00567,0.00737,0.00415,0.00536,0.00629,0.00672,0.00682,0.00737,0.00176,0.00858,0.00213,0.00723,0.00398,0.0114
b0756,0.0067,0.000467,0.000791,0.000979,0.00196,0.00000279,0.000555,0.00167,0.00136,0.00117,0.000561,0.000679,0.00119,0.00034,0.00103,0.000617,0.00104,0.000645,0.000652,0.00136,0.000598,0.00159,0.00106,0.00125,0.00136,0.000563,0.000684,0.000914,0.000808
b0767,0.00645,0.000927,0.00141,0.00381,0.00299,0.00109,0.000809,0.00125,0.00256,0.00375,0.00158,0.000462,0.00106,0.00049,0.00091,0.000537,0.00113,0.000872,0.000143,0.00156,0.00000239,0.00044,0.000721,0.00135,0.00119,0.000601,0.000398,0.000706,0.00108
b0871,0.00587,0.0038,0.00272,0.00196,0.00202,0.00176,0.00107,0.00437,0.00288,0.00179,0.00172,0.00267,0.00366,0.000646,0.00153,0.00231,0.00359,0.00228,0.00233,0.00219,0.00101,0.00281,0.00152,0.00173,0.00235,0.00228,0.00109,0.00137,0.00215
b0902,0.000894,0.00028,0.000492,0.00136,0.00127,0.000474,0.000368,0.00045,0.000426,0.000602,0.000451,0.000382,0.000499,0.000428,0.000397,0.000461,0.000881,0.000543,0.000386,0.000272,0.000541,0.000306,0.00102,0.00043,0.000496,0.000331,0.000256,0.000388,0.000208
b0903,0.0164,0.0102,0.0111,0.0103,0.0212,0.00976,0.00498,0.0101,0.00654,0.013,0.0072,0.00833,0.00995,0.00468,0.00732,0.0103,0.0163,0.00408,0.00906,0.00596,0.00869,0.0101,0.00534,0.00394,0.0106,0.00557,0.0043,0.00499,0.00437
b1101,0.0121,0.0014,0.00983,0.0171,0.0141,0.00211,0.00544,0.00178,0.00123,0.00303,0.00409,0.00297,0.00381,0.00395,0.00693,0.00864,0.00641,0.00761,0.00392,0.00245,0.0013,0.00574,0.000512,0.00154,0.00354,0.000573,0.00558,0.00177,0.00658
b1136,0.0352,0.0102,0.0227,0.0332,0.0334,0.0226,0.0181,0.0179,0.0145,0.00987,0.017,0.0208,0.0103,0.0165,0.0112,0.0229,0.024,0.0186,0.012,0.0146,0.0164,0.0265,0.00347,0.0126,0.0369,0.0136,0.0218,0.0155,0.0217
b1241,0.0113,0.00422,0.00564,0.00729,0.0167,0.00532,0.00252,0.00368,0.00336,0.00634,0.00347,0.00214,0.00683,0.00252,0.00313,0.00507,0.00787,0.00437,0.00195,0.00383,0.00144,0.00269,0.00301,0.00507,0.00364,0.00358,0.0034,0.00153,0.00476
b1276,0.0181,0.00375,0.00455,0.0018,0.00296,0.00443,0.00161,0.0146,0.00313,0.00357,0.00295,0.0043,0.00438,0.00128,0.00503,0.00639,0.00746,0.00537,0.00177,0.00477,0.00241,0.0037,0.013,0.00286,0.00414,0.00496,0.00405,0.0036,0.00544
b1380,0.0131,0.000745,0.00109,0.000642,0.00141,0.000443,0.000114,0.000418,0.000689,0.000962,0.000416,0.000289,0.00103,0.000341,0.000219,0.000405,0.000289,0.00031,0.000219,0.000669,0.000506,0.000727,0.000919,0.000847,0.000542,0.000519,0.000716,0.000409,0.00023
b1602,0.0078,0.000975,0.00386,0.00507,0.00758,0.00112,0.00083,0.0034,0.00226,0.00169,0.00176,0.00167,0.00312,0.00108,0.00129,0.00215,0.00351,0.00272,0.000386,0.00133,0.00169,0.000904,0.000333,0.00269,0.00157,0.000565,0.00194,0.00128,0.0016
b1603,0.00653,0.00503,0.0121,0.0152,0.0226,0.00447,0.00375,0.00529,0.00697,0.00439,0.00249,0.00347,0.00548,0.00397,0.00215,0.00522,0.00657,0.00773,0.00264,0.00501,0.00355,0.00606,0.000862,0.00235,0.00599,0.00382,0.00825,0.00482,0.00224
b1611,0.00256,0.00183,0.00176,0.00084,0.000814,0.000957,0.000535,0.00397,0.00208,0.00137,0.000976,0.000547,0.00139,0.000659,0.00124,0.00212,0.00254,0.00169,0.00139,0.00135,0.0013,0.00201,0.00301,0.00232,0.00206,0.00224,0.00133,0.00159,0.00219
b1612,0.0134,0.00466,0.00748,0.00379,0.00469,0.0103,0.00347,0.00767,0.00332,0.00646,0.00409,0.00612,0.00741,0.00679,0.00721,0.0053,0.00751,0.00304,0.00818,0.00473,0.00517,0.00881,0.0106,0.00586,0.0044,0.00665,0.00613,0.00791,0.00847
b1676,0.004,0.00248,0.00426,0.00253,0.0104,0.00169,0.000849,0.00165,0.00226,0.00327,0.00153,0.00137,0.00356,0.00209,0.00156,0.00271,0.00341,0,0.00207,0.00376,0.00159,0.00344,0.00416,0.00246,0.00335,0.00138,0.00157,0.00121,0.00177
b1702,0.0127,0.00184,0.00387,0.00426,0.00304,0.00673,0.00164,0.0043,0.00469,0.00328,0.00461,0.00407,0.00242,0.00455,0.001,0.00631,0.00695,0.00348,0.00000758,0.00504,0.00206,0.00541,0.00315,0.00593,0.00702,0.00432,0.00558,0.00488,0.00459
b1723,0.00356,0.000686,0.000516,0.00256,0.00445,0.00104,0.000242,0.00132,0.00234,0.021,0.00000128,0.00159,0.000915,0.000272,0.000495,0.00124,0.00203,0.00196,0.00109,0.000931,0.000722,0.001,0.00184,0.00101,0.000623,0.0023,0.000334,0.000801,0.00219
b1779,0.019,0.00501,0.0142,0.0313,0.0557,0.00897,0.00611,0.00773,0.0106,0.00924,0.0102,0.00812,0.0105,0.00883,0.00557,0.0183,0.0253,0.0115,0.00887,0.00813,0.0224,0.00806,0.0134,0.00733,0.00774,0.00624,0.00846,0.00893,0.014
b1850,0.00199,0.000655,0.000516,0.00302,0.0028,0.000691,0.000386,0.000863,0.00152,0.000806,0.00083,0.000542,0.000562,0.00044,0.000957,0.000707,0.000894,0.000688,0.000163,0.00152,0.000734,0.000569,0.000132,0.00044,0.000743,0.000353,0.000686,0.000722,0.000551
b1851,0.0000819,0.0000176,0.0000431,0.0000981,0.000154,0.0000375,0.000013,0.0000416,0.000112,0.0000392,0.0000143,0.0000138,0.0000205,0.0000243,0.000023,0.0000222,0.0000257,0.000018,0.00000753,0.0000746,0.0000947,0.0000956,0.0000116,0.0000211,0.0000161,0.0000089,0.0000472,0.000015,0.00003
